id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Peter England Men Party Blue Jeans
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,Manchester United Men Solid Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,Jealous 21 Women Purple Shirt
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Puma Men Future Cat Remix SF Black Casual Shoes
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts
13089,Men,Apparel,Topwear,Sweaters,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,Buckaroo Men Flores Black Formal Shoes
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual,Gas Men Europa White Shoes
59051,Women,Footwear,Shoes,Sandals,Black,Winter,Casual,Carlton London Women Black & Gold Toned Flats
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt
2886,Women,Footwear,Shoes,Sandals,Brown,Winter,Casual,Catwalk Women Leather Brown Flats
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Nike Men's Incinerate MSL White Blue Shoe
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,Puma Men Long Logo Black Bermuda
9452,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Stripes White Red Shirts
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Clarks Men Hang Work Leather Black Formal Shoes
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Nike Women Purple Polo T-shirt
4943,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,Puma Men Scribble Black Tshirts
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,Timberland Men Black Casual Shoes
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,Casual,Vans Men Classic Slip-On Purple & Black Shoes
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men's Lowell White Silver Shoe
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,ID Men Red Shoes
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,Casual,Vans Men Khaki Shoes
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,Nike Women Black T-shirt
23876,Men,Apparel,Topwear,Sweaters,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Manchester United Men Solid Red Tshirt
54118,Women,Footwear,Shoes,Sandals,Black,Winter,Casual,Rocia Women Black Flats
2872,Women,Footwear,Shoes,Sandals,Brown,Winter,Casual,Catwalk Women Leather Flats
49653,Women,Apparel,Topwear,Tops,Green,Summer,Casual,Mineral Women Green Top
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Puma Men Axis White & Grey Sports Shoes
58513,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,Tonga Women Maroon Top
52029,Unisex,Apparel,Topwear,Jackets,Coffee Brown,Summer,,Just Natural Unisex Charcoal Rain Jacket
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt
39716,Women,Apparel,Dress,Dresses,Blue,Summer,Casual,Arrow Woman Women Blue Dress
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Nike Men Air Rift MTR White Casual Shoe
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men White Corona Sports Shoes
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,Casual,Vans Men Blue Era Scilla Plaid Shoes
9694,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,Sports,Fila Men Destiny Grey Sports Shoes
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,Sports,ADIDAS Men Blue Chill Sports Shoes
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt
11518,Women,Footwear,Shoes,Sandals,Grey,Winter,Casual,Catwalk Women Gun Metal Grey Heels
59297,Men,Apparel,Topwear,Shirts,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
27846,Women,Apparel,Topwear,Jackets,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Jealous 21 Women Black Jeans
2618,Women,Footwear,Shoes,Sandals,Silver,Spring,Casual,Carlton London Women Silver Wedge Sandal
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Adispeed Black Sports Shoes
7158,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Scullers Men  Green Check Shirt
19547,Men,Apparel,Topwear,Sweaters,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt
16392,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Levis Men Check Red Shirts
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
47530,Women,Footwear,Shoes,Sandals,Copper,Winter,Casual,Portia Women Copper-Toned & Brown Sandals
6617,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,Spykar Men Black and white Check Shirt
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Myntra Men's Brain Black T-shirt
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes
54127,Women,Footwear,Shoes,Sandals,Black,Winter,Casual,Rocia Women Black Heels
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Numero Uno Men White Casual Shoes
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,Rockport Men LLandro Red Casual Shoes
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,Casual,Skechers Women Green Shoe
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,John Miller Men Solid Type Black Trousers
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt
11385,Women,Apparel,Topwear,Sweaters,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts
53130,Women,Footwear,Shoes,Sandals,Brown,Winter,Casual,Catwalk Women Brown Sandals
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Lotto Unisex Canvas Black Check Shoe
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Arrow Men Formal Black Shoe
31782,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Lee Women Paula Blue Top
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Vans Unisex Black & Grey Classic Shoes
12500,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Nike Men Printed Black T-shirt
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,ONLY Women directoire blue Trousers
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,Formal,Carlton London Men Formal Brown Formal Shoes
21174,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,Nike Women Solid Pink Shorts
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts
